Ex_mean Ex_std Ey_mean Ey_std lossx_mean lossx_std lossy_mean lossy_std
0.55151410 0.00782985 0.55089190 0.00884793 0.08143521 0.00111957 0.08432250 0.00079297
0.55511713 0.01021261 0.54654363 0.00691150 0.08117082 0.00099812 0.08138135 0.00088704
0.55488215 0.00957566 0.55152802 0.00852819 0.08053363 0.00116597 0.07980796 0.00106672
0.56020200 0.01006122 0.55113692 0.00785224 0.08332363 0.00091857 0.08169424 0.00101522
0.55065353 0.00758113 0.55165916 0.00477516 0.08362530 0.00114934 0.08055874 0.00093172
0.55111983 0.00870123 0.55923300 0.00546562 0.07764351 0.00098509 0.07900180 0.00085038
0.55694679 0.00783700 0.54140048 0.00582765 0.07901272 0.00075762 0.08074350 0.00084908
0.55516015 0.00867514 0.54980579 0.00701171 0.08135487 0.00100509 0.08246534 0.00081260
0.55505254 0.00722890 0.54136606 0.00808173 0.08283009 0.00083976 0.07925079 0.00083909
0.54952054 0.00844656 0.55091546 0.00869762 0.07997737 0.00108957 0.08067982 0.00115988
0.56603746 0.00758170 0.54737900 0.00678297 0.07936225 0.00120006 0.08150892 0.00089600
0.55514412 0.00777082 0.55439866 0.00612605 0.08028860 0.00120001 0.07981328 0.00099602
0.55967554 0.00695598 0.54210217 0.00746544 0.07961927 0.00094860 0.07891963 0.00127288
0.55539821 0.01217766 0.54425463 0.00814288 0.07935044 0.00073367 0.08061261 0.00105108
0.55962775 0.00814382 0.54909926 0.00678843 0.07877254 0.00092425 0.08203419 0.00123545
0.56495450 0.00673302 0.54406028 0.00931725 0.08217214 0.00097966 0.08184029 0.00108421
0.55529048 0.00975175 0.55541308 0.00765271 0.08068470 0.00103451 0.08107160 0.00083170
0.54856518 0.00592186 0.54579261 0.00834108 0.08339003 0.00095788 0.08276751 0.00100969
0.55931186 0.00849744 0.53825324 0.00692398 0.08002933 0.00084087 0.08020651 0.00103208
0.55506432 0.00665113 0.55207407 0.00705937 0.08063843 0.00094552 0.08265219 0.00103881
0.56121185 0.00844715 0.55756515 0.00811592 0.07959139 0.00081572 0.08073015 0.00089658
0.55748551 0.00712850 0.54445637 0.00985217 0.07991087 0.00106531 0.07837598 0.00101215
0.55325696 0.00895106 0.54967166 0.00822494 0.07891003 0.00093888 0.08067377 0.00113705
0.56889407 0.00643904 0.54137885 0.00919892 0.08049538 0.00076846 0.08310662 0.00116657
0.55991516 0.00821093 0.53510021 0.01109749 0.07992527 0.00108022 0.07982781 0.00112476
0.55704979 0.00938710 0.54986299 0.00961167 0.07851527 0.00087238 0.08125127 0.00120071
0.54973943 0.00767668 0.54581656 0.00435116 0.07556965 0.00126446 0.08170228 0.00106838
0.54960557 0.00757832 0.55108152 0.00649730 0.07954893 0.00084967 0.08127608 0.00107576
0.55841261 0.00900515 0.55378594 0.00909701 0.07995494 0.00109745 0.07958649 0.00103548
0.55602975 0.00826206 0.54307420 0.00859022 0.08113527 0.00081253 0.07915899 0.00078500
0.56648481 0.00455358 0.54815747 0.00719012 0.07941425 0.00096296 0.08285438 0.00099172
0.54410993 0.00907636 0.54581763 0.00588477 0.08112332 0.00100997 0.08309764 0.00068384
0.55186957 0.00923004 0.55402749 0.01135088 0.07895411 0.00084570 0.07767630 0.00099802
0.55789501 0.00937000 0.54823974 0.00814976 0.07887765 0.00115196 0.08202180 0.00120514
0.55201676 0.00804335 0.54964006 0.00858841 0.08116280 0.00100823 0.08536260 0.00099021
0.56054743 0.00621624 0.54007331 0.00864282 0.07670281 0.00094763 0.08097810 0.00114343
0.56654920 0.00735564 0.54578476 0.00787875 0.07725002 0.00110279 0.07996126 0.00086389
0.56465387 0.00762304 0.55596712 0.00834529 0.08128203 0.00081186 0.08470352 0.00141246
0.56260903 0.00657897 0.54874056 0.00578333 0.08249647 0.00092720 0.08012416 0.00090172
0.57779326 0.00663105 0.54714256 0.00640193 0.08212513 0.00093877 0.08211799 0.00097120
0.54283427 0.00655065 0.55343881 0.00792850 0.08453054 0.00119630 0.08102657 0.00100350
